source,series,t_over_tsigma,rc_over_R,We,Oh,Bo
km_model,km_model,3.5032308040475892,0.2035237315532403,0.0231,0.03,0.02
km_model,km_model,3.503596769291627,0.2035285298202327,0.0231,0.03,0.02
km_model,km_model,3.5039627345356648,0.2035333210005165,0.0231,0.03,0.02
km_model,km_model,3.5043286997797027,0.20353810514590784,0.0231,0.03,0.02
km_model,km_model,3.5046946650237403,0.20354288230794296,0.0231,0.03,0.02
km_model,km_model,3.5050606302677783,0.20354765253786697,0.0231,0.03,0.02
km_model,km_model,3.505426595511816,0.20142085153487804,0.0231,0.03,0.02
km_model,km_model,3.5057925607558533,0.20142561275172566,0.0231,0.03,0.02
km_model,km_model,3.5061585259998913,0.20143036730825542,0.0231,0.03,0.02
km_model,km_model,3.506524491243929,0.2014351152542546,0.0231,0.03,0.02
km_model,km_model,3.506890456487967,0.20143985663915426,0.0231,0.03,0.02
km_model,km_model,3.5072564217320044,0.20144459151202426,0.0231,0.03,0.02
km_model,km_model,3.5076223869760423,0.20144931992156853,0.0231,0.03,0.02
km_model,km_model,3.50798835222008,0.20145404191612168,0.0231,0.03,0.02
km_model,km_model,3.508354317464118,0.201458757543645,0.0231,0.03,0.02
km_model,km_model,3.5087202827081554,0.2014634668517239,0.0231,0.03,0.02
km_model,km_model,3.5090862479521934,0.20146816988756516,0.0231,0.03,0.02
km_model,km_model,3.509452213196231,0.201472866697995,0.0231,0.03,0.02
km_model,km_model,3.5098181784402684,0.20147755732945727,0.0231,0.03,0.02
km_model,km_model,3.5101841436843064,0.20148224182801228,0.0231,0.03,0.02
km_model,km_model,3.510550108928344,0.20148692023933557,0.0231,0.03,0.02
km_model,km_model,3.510916074172382,0.20149159260871752,0.0231,0.03,0.02
km_model,km_model,3.5112820394164195,0.20149625898106271,0.0231,0.03,0.02
km_model,km_model,3.5116480046604575,0.1993684996781862,0.0231,0.03,0.02
km_model,km_model,3.512013969904495,0.1993731614957669,0.0231,0.03,0.02
km_model,km_model,3.512379935148533,0.19937781756405734,0.0231,0.03,0.02
km_model,km_model,3.5127459003925705,0.1993824679366602,0.0231,0.03,0.02
km_model,km_model,3.5131118656366085,0.19938711271118315,0.0231,0.03,0.02
km_model,km_model,3.513477830880647,0.199391751973895,0.0231,0.03,0.02
km_model,km_model,3.5138437961246844,0.19939638580540672,0.0231,0.03,0.02
km_model,km_model,3.5142097613687224,0.19940101428528254,0.0231,0.03,0.02
km_model,km_model,3.51457572661276,0.19940563749539517,0.0231,0.03,0.02
km_model,km_model,3.5149416918567975,0.19941025552201938,0.0231,0.03,0.02
km_model,km_model,3.5153076571008355,0.19941486845678713,0.0231,0.03,0.02
km_model,km_model,3.515673622344873,0.19941947639671326,0.0231,0.03,0.02
km_model,km_model,3.516039587588911,0.199424079443545,0.0231,0.03,0.02
km_model,km_model,3.5164055528329485,0.1994286777027034,0.0231,0.03,0.02
km_model,km_model,3.5167715180769865,0.19943327128206847,0.0231,0.03,0.02
km_model,km_model,3.517137483321024,0.19943786029083233,0.0231,0.03,0.02
km_model,km_model,3.517503448565062,0.19730911533496492,0.0231,0.03,0.02
km_model,km_model,3.5178694138090996,0.19731365197281656,0.0231,0.03,0.02
km_model,km_model,3.5182353790531375,0.1973181802707753,0.0231,0.03,0.02
km_model,km_model,3.518601344297175,0.19732270044642786,0.0231,0.03,0.02
km_model,km_model,3.5189673095412126,0.19732721272565304,0.0231,0.03,0.02
km_model,km_model,3.5193332747852506,0.19733171734126775,0.0231,0.03,0.02
km_model,km_model,3.519699240029288,0.19733621453259959,0.0231,0.03,0.02
km_model,km_model,3.520065205273326,0.19734070454578095,0.0231,0.03,0.02
km_model,km_model,3.5204311705173637,0.19734518763456382,0.0231,0.03,0.02
km_model,km_model,3.5207971357614016,0.19734966406145932,0.0231,0.03,0.02
km_model,km_model,3.521163101005439,0.19735413409902705,0.0231,0.03,0.02
km_model,km_model,3.521529066249477,0.19735859803115632,0.0231,0.03,0.02
km_model,km_model,3.5218950314935147,0.19736305615420618,0.0231,0.03,0.02
km_model,km_model,3.5222609967375527,0.19736750877789733,0.0231,0.03,0.02
km_model,km_model,3.52262696198159,0.1973719562258751,0.0231,0.03,0.02
km_model,km_model,3.522992927225628,0.19737639883588584,0.0231,0.03,0.02
km_model,km_model,3.5233588924696657,0.19738083695953668,0.0231,0.03,0.02
km_model,km_model,3.5237248577137033,0.19524964367114211,0.0231,0.03,0.02
km_model,km_model,3.5240908229577412,0.19525398014418316,0.0231,0.03,0.02
km_model,km_model,3.5244567882017788,0.1952583111544332,0.0231,0.03,0.02
km_model,km_model,3.5248227534458167,0.195262637173231,0.0231,0.03,0.02
km_model,km_model,3.5251887186898543,0.19526695867360014,0.0231,0.03,0.02
km_model,km_model,3.5255546839338923,0.19527127612778478,0.0231,0.03,0.02
km_model,km_model,3.52592064917793,0.19527559000461917,0.0231,0.03,0.02
km_model,km_model,3.526286614421968,0.19527990076679402,0.0231,0.03,0.02
km_model,km_model,3.5266525796660053,0.19528420886807799,0.0231,0.03,0.02
km_model,km_model,3.5270185449100433,0.19528851475055237,0.0231,0.03,0.02
km_model,km_model,3.527384510154081,0.1952928188419121,0.0231,0.03,0.02
km_model,km_model,3.5277504753981184,0.19529712155287962,0.0231,0.03,0.02
km_model,km_model,3.5281164406421563,0.19530142327477434,0.0231,0.03,0.02
km_model,km_model,3.528482405886194,0.19530572437727184,0.0231,0.03,0.02
km_model,km_model,3.528848371130232,0.1953100400179712,0.0231,0.03,0.02
km_model,km_model,3.5292143363742694,0.19531438003772655,0.0231,0.03,0.02
km_model,km_model,3.5295803016183074,0.19318045837850098,0.0231,0.03,0.02
km_model,km_model,3.529946266862345,0.19318479235950403,0.0231,0.03,0.02
km_model,km_model,3.530312232106383,0.19318916981905623,0.0231,0.03,0.02
km_model,km_model,3.5306781973504204,0.19319358757982125,0.0231,0.03,0.02
km_model,km_model,3.5310441625944584,0.19319804103656282,0.0231,0.03,0.02
km_model,km_model,3.531410127838496,0.19320252491220466,0.0231,0.03,0.02
km_model,km_model,3.531776093082534,0.19320703382089413,0.0231,0.03,0.02
km_model,km_model,3.5321420583265715,0.19321156266040512,0.0231,0.03,0.02
km_model,km_model,3.532508023570609,0.19321610686079724,0.0231,0.03,0.02
km_model,km_model,3.532873988814647,0.1932206625175703,0.0231,0.03,0.02
km_model,km_model,3.5332399540586845,0.19322522643654358,0.0231,0.03,0.02
km_model,km_model,3.5336059193027225,0.19322979611515143,0.0231,0.03,0.02
km_model,km_model,3.53397188454676,0.19323436968142732,0.0231,0.03,0.02
km_model,km_model,3.534337849790798,0.1932389458081563,0.0231,0.03,0.02
km_model,km_model,3.5347038150348356,0.19324352361588717,0.0231,0.03,0.02
km_model,km_model,3.535069780278874,0.1932481025749633,0.0231,0.03,0.02
km_model,km_model,3.535435745522912,0.19111304504593585,0.0231,0.03,0.02
km_model,km_model,3.5358017107669495,0.19111761119295587,0.0231,0.03,0.02
km_model,km_model,3.5361676760109875,0.19112217726242994,0.0231,0.03,0.02
km_model,km_model,3.536533641255025,0.1911267433886495,0.0231,0.03,0.02
km_model,km_model,3.5368996064990625,0.19113130972444015,0.0231,0.03,0.02
km_model,km_model,3.5372655717431005,0.19113587640282031,0.0231,0.03,0.02
km_model,km_model,3.537631536987138,0.19114044351171156,0.0231,0.03,0.02
km_model,km_model,3.537997502231176,0.19114501107940496,0.0231,0.03,0.02
km_model,km_model,3.5383634674752136,0.19114957906846927,0.0231,0.03,0.02
km_model,km_model,3.5387294327192516,0.19115414737593708,0.0231,0.03,0.02
km_model,km_model,3.539095397963289,0.191158715837853,0.0231,0.03,0.02
km_model,km_model,3.539461363207327,0.19116328423656748,0.0231,0.03,0.02
km_model,km_model,3.5398273284513646,0.19116785230947508,0.0231,0.03,0.02
km_model,km_model,3.5401932936954026,0.19117241975820284,0.0231,0.03,0.02
km_model,km_model,3.54055925893944,0.19117698625753068,0.0231,0.03,0.02
km_model,km_model,3.540925224183478,0.19118155146356444,0.0231,0.03,0.02
km_model,km_model,3.5412911894275156,0.18904518213934735,0.0231,0.03,0.02
km_model,km_model,3.541657154671553,0.18904972008436455,0.0231,0.03,0.02
km_model,km_model,3.542023119915591,0.1890542552437074,0.0231,0.03,0.02
km_model,km_model,3.5423890851596287,0.18905878725486783,0.0231,0.03,0.02
km_model,km_model,3.5427550504036667,0.1890633157620597,0.0231,0.03,0.02
km_model,km_model,3.543121015647704,0.18906784041829358,0.0231,0.03,0.02
km_model,km_model,3.543486980891742,0.18907236088665835,0.0231,0.03,0.02
km_model,km_model,3.5438529461357797,0.18907687684098473,0.0231,0.03,0.02
km_model,km_model,3.5442189113798177,0.18908138796604856,0.0231,0.03,0.02
km_model,km_model,3.5445848766238552,0.18908589395745365,0.0231,0.03,0.02
km_model,km_model,3.544950841867893,0.18909039452130824,0.0231,0.03,0.02
km_model,km_model,3.5453168071119308,0.18909488937378602,0.0231,0.03,0.02
km_model,km_model,3.5456827723559683,0.18909937824064083,0.0231,0.03,0.02
km_model,km_model,3.5460487376000063,0.1891038608567226,0.0231,0.03,0.02
km_model,km_model,3.546414702844044,0.1891083369655281,0.0231,0.03,0.02
km_model,km_model,3.546780668088082,0.1891128063188027,0.0231,0.03,0.02
km_model,km_model,3.5471466333321193,0.18911726867620318,0.0231,0.03,0.02
km_model,km_model,3.5475125985761573,0.18697933544357265,0.0231,0.03,0.02
km_model,km_model,3.547878563820195,0.18698375178852772,0.0231,0.03,0.02
km_model,km_model,3.548244529064233,0.1869881601215051,0.0231,0.03,0.02
km_model,km_model,3.5486104943082704,0.1869925602399977,0.0231,0.03,0.02
km_model,km_model,3.5489764595523083,0.18699695194852758,0.0231,0.03,0.02
km_model,km_model,3.549342424796346,0.18700133505853545,0.0231,0.03,0.02
km_model,km_model,3.549708390040384,0.18700570938828534,0.0231,0.03,0.02
km_model,km_model,3.5500743552844214,0.18701007476277737,0.0231,0.03,0.02
km_model,km_model,3.550440320528459,0.18701443101366122,0.0231,0.03,0.02
km_model,km_model,3.550806285772497,0.18701877797914726,0.0231,0.03,0.02
km_model,km_model,3.5511722510165344,0.18702311550391096,0.0231,0.03,0.02
km_model,km_model,3.5515382162605724,0.1870274434389901,0.0231,0.03,0.02
km_model,km_model,3.55190418150461,0.187031761641673,0.0231,0.03,0.02
km_model,km_model,3.552270146748648,0.1870360699753783,0.0231,0.03,0.02
km_model,km_model,3.5526361119926855,0.1870403683095263,0.0231,0.03,0.02
km_model,km_model,3.5530020772367235,0.18704465651940386,0.0231,0.03,0.02
km_model,km_model,3.553368042480761,0.18490500781964236,0.0231,0.03,0.02
km_model,km_model,3.553734007724799,0.18490923895561764,0.0231,0.03,0.02
km_model,km_model,3.5540999729688365,0.18491345942986445,0.0231,0.03,0.02
km_model,km_model,3.554465938212874,0.18491766914720242,0.0231,0.03,0.02
km_model,km_model,3.554831903456912,0.18492186801744964,0.0231,0.03,0.02
km_model,km_model,3.5551978687009496,0.18492605595526743,0.0231,0.03,0.02
km_model,km_model,3.5555638339449875,0.18493023288000635,0.0231,0.03,0.02
km_model,km_model,3.555929799189025,0.18493439871555462,0.0231,0.03,0.02
km_model,km_model,3.556295764433063,0.18493855339018841,0.0231,0.03,0.02
km_model,km_model,3.5566617296771015,0.1849426968364256,0.0231,0.03,0.02
km_model,km_model,3.557027694921139,0.18494682899088266,0.0231,0.03,0.02
km_model,km_model,3.557393660165177,0.18495094979413434,0.0231,0.03,0.02
km_model,km_model,3.5577596254092145,0.1849550591905777,0.0231,0.03,0.02
km_model,km_model,3.5581255906532525,0.18495915712829908,0.0231,0.03,0.02
km_model,km_model,3.55849155589729,0.1849632435589448,0.0231,0.03,0.02
km_model,km_model,3.558857521141328,0.1849673184375957,0.0231,0.03,0.02
km_model,km_model,3.5592234863853656,0.18282585114030767,0.0231,0.03,0.02
km_model,km_model,3.559589451629403,0.1828298634721517,0.0231,0.03,0.02
km_model,km_model,3.559955416873441,0.1828338640535159,0.0231,0.03,0.02
km_model,km_model,3.5603213821174786,0.18283785285723714,0.0231,0.03,0.02
km_model,km_model,3.5606873473615166,0.18284182985887706,0.0231,0.03,0.02
km_model,km_model,3.561053312605554,0.18284579503661866,0.0231,0.03,0.02
km_model,km_model,3.561419277849592,0.18284974837116622,0.0231,0.03,0.02
km_model,km_model,3.5617852430936296,0.18285368984564787,0.0231,0.03,0.02
km_model,km_model,3.5621512083376676,0.1828576194455222,0.0231,0.03,0.02
km_model,km_model,3.562517173581705,0.18286153715848674,0.0231,0.03,0.02
km_model,km_model,3.562883138825743,0.1828654429743906,0.0231,0.03,0.02
km_model,km_model,3.5632491040697807,0.18286933688514895,0.0231,0.03,0.02
km_model,km_model,3.563615069313818,0.18287321888466077,0.0231,0.03,0.02
km_model,km_model,3.563981034557856,0.1828770889687296,0.0231,0.03,0.02
km_model,km_model,3.5643469998018937,0.18288094713498657,0.0231,0.03,0.02
km_model,km_model,3.5647129650459317,0.18073766951855144,0.0231,0.03,0.02
km_model,km_model,3.5650789302899693,0.18074146339652325,0.0231,0.03,0.02
km_model,km_model,3.5654448955340072,0.18074524534959674,0.0231,0.03,0.02
km_model,km_model,3.5658108607780448,0.18074901538531749,0.0231,0.03,0.02
km_model,km_model,3.5661768260220827,0.18075277351261598,0.0231,0.03,0.02
km_model,km_model,3.5665427912661203,0.18075651974174764,0.0231,0.03,0.02
km_model,km_model,3.5669087565101583,0.18076025408423527,0.0231,0.03,0.02
km_model,km_model,3.567274721754196,0.18076397655281365,0.0231,0.03,0.02
km_model,km_model,3.567640686998234,0.18076768716137614,0.0231,0.03,0.02
km_model,km_model,3.5680066522422713,0.18077138592492317,0.0231,0.03,0.02
km_model,km_model,3.568372617486309,0.18077507285951275,0.0231,0.03,0.02
